code,turnover_ratio,circulating_cap,circulating_market_cap,date,ret
002884.XSHE,1.1856,6832.6602,14.4169,2018-08-10,-0.017535545023696558
600385.XSHG,0.2044,14277.3818,14.4202,2018-08-10,-0.008910891089108898
300483.XSHE,0.68,6150.0,14.4217,2018-08-10,-0.0017057569296374904
600933.XSHG,1.1892,13824.0,14.4323,2018-08-10,0.004789272030651239
002842.XSHE,0.878,7182.5,14.444,2018-08-10,0.0074589756340128575
300179.XSHE,0.7765,32642.7617,14.526,2018-08-10,0.017977528089887656
000835.XSHE,1.3176,30289.5,14.539000000000001,2018-08-10,0.006250000000000052
002829.XSHE,2.2831,6163.0762,14.550999999999998,2018-08-10,0.008894536213468906
300624.XSHE,18.6569,2000.0,14.552,2018-08-10,-0.003161077515118056
603777.XSHG,2.9731,11062.6904,14.5585,2018-08-10,-0.018237082066869317
300419.XSHE,1.6492,22682.5918,14.5622,2018-08-10,-0.02492211838006233
300427.XSHE,0.9008,11058.3311,14.597000000000001,2018-08-10,-0.0037878787878788405
600475.XSHG,0.5341,14049.5479,14.5975,2018-08-10,0.01058710298363823
603214.XSHG,27.5877,2500.0,14.615,2018-08-10,-0.007184399589462909
600234.XSHG,0.0735,20244.5879,14.6368,2018-08-10,-0.006915629322268303
000668.XSHE,0.3175,14668.8389,14.6688,2018-08-10,0.005000000000000071
300375.XSHE,0.3729,23915.9258,14.6844,2018-08-10,-0.0016286644951141163
600561.XSHG,0.4429,23706.4004,14.698,2018-08-10,0.003225806451612979
300428.XSHE,0.961,13804.9199,14.7575,2018-08-10,0.0037418147801683023
600768.XSHG,0.0,13374.7197,14.7657,2018-08-10,0.0
300246.XSHE,1.4004,10775.3867,14.7731,2018-08-10,0.0014587892049599818
600532.XSHG,2.9171,39623.4414,14.7795,2018-08-10,0.010723860589812341
600099.XSHG,1.182,21912.0,14.7906,2018-08-10,0.008888888888888832
300609.XSHE,2.0699,5288.3125,14.802,2018-08-10,-0.0014290818149340016
002452.XSHE,0.2162,36998.9805,14.8366,2018-08-10,-0.00249376558603486
600767.XSHG,0.5438,34091.0195,14.8637,2018-08-10,0.016055045871559696
300218.XSHE,0.4270000000000001,21627.6387,14.8798,2018-08-10,0.00872093023255808
600241.XSHG,1.1293,19295.9102,14.9157,2018-08-10,0.02457956015523937
603103.XSHG,2.7737,5300.0,14.9248,2018-08-10,0.006036931818181879
300093.XSHE,1.1263,21523.4629,14.9373,2018-08-10,-0.0028818443804033964
603773.XSHG,8.1241,2364.8889,14.9556,2018-08-10,0.0
600766.XSHG,0.0,22393.207000000002,14.9811,2018-08-10,0.0
300641.XSHE,1.9974,22338.0,14.9888,2018-08-10,0.014903129657227966
300056.XSHE,3.8269,23686.998,14.9939,2018-08-10,0.017377567140600358
300165.XSHE,1.6751,30438.9609,15.0064,2018-08-10,0.0
300706.XSHE,13.9897,3528.0,15.0328,2018-08-10,-0.006101854024876743
603520.XSHG,2.5759,6465.0,15.0441,2018-08-10,-0.0021486892995273192
300634.XSHE,13.9339,4001.0,15.0478,2018-08-10,-0.013826110077107236
603013.XSHG,15.7187,6000.0,15.06,2018-08-10,-0.011553784860557734
300443.XSHE,0.6258,15945.1182,15.1,2018-08-10,0.0010559662090812868
002381.XSHE,0.3858,23238.5938,15.1283,2018-08-10,0.0
603897.XSHG,11.1975,4460.0,15.1283,2018-08-10,-0.006780660377358398
300030.XSHE,0.5881,25434.7441,15.1337,2018-08-10,-0.006722689075630258
000004.XSHE,2.0784,8301.3184,15.1665,2018-08-10,-0.0010946907498631405
300210.XSHE,0.5162,35208.0039,15.1746,2018-08-10,0.006960556844547415
603016.XSHG,0.0,7046.0,15.1771,2018-08-10,0.0
300025.XSHE,0.9936,38944.0195,15.1882,2018-08-10,-0.03076923076923068
300420.XSHE,0.5888,35019.5703,15.2335,2018-08-10,-0.013793103448275978
300220.XSHE,0.6926,12491.8916,15.2401,2018-08-10,-0.0008196721311476691
002144.XSHE,0.8565,13712.1367,15.2479,2018-08-10,-0.009892086330935359
300683.XSHE,3.1337,4755.5039,15.2509,2018-08-10,0.017773620205799822
002729.XSHE,1.1166,6668.0,15.2631,2018-08-10,-0.02446483180428129
603733.XSHG,12.8351,6200.0,15.2768,2018-08-10,-0.010146103896103896
002566.XSHE,0.4541,22506.8906,15.2822,2018-08-10,0.0
300416.XSHE,0.5307,7659.5,15.3343,2018-08-10,-0.013986013986014043
600778.XSHG,0.1854,31108.6719,15.3677,2018-08-10,0.0
600654.XSHG,0.6929,75504.3125,15.4029,2018-08-10,0.004901960784313838
603666.XSHG,16.7887,1754.39,15.4369,2018-08-10,-0.0195476758722582
300344.XSHE,3.8928,20478.1289,15.4405,2018-08-10,0.010610079575596829
002571.XSHE,0.16899999999999998,25319.7598,15.4451,2018-08-10,-0.00327868852459024
300584.XSHE,3.8407,4742.355,15.4506,2018-08-10,-0.032228360957642865
002295.XSHE,0.8981,23131.5762,15.4519,2018-08-10,-0.0149700598802396
002058.XSHE,0.8426,14344.833,15.4637,2018-08-10,0.014842300556586285
000622.XSHE,3.1626,42522.6016,15.4782,2018-08-10,0.0357142857142858
300566.XSHE,1.195,9458.3271,15.4833,2018-08-10,-0.0036652412950518467
002788.XSHE,1.2668,10563.1016,15.4855,2018-08-10,-0.002728512960436504
