日期,委托时间,标的,交易类型,成交数量,成交价,成交额,委托数量,平仓盈亏,手续费,,
2011/8/9,9:30:00,日照港(600017.XSHG),卖,-9900股,3.44,-34056,-9900股,-5746.72,44.27,,
2011/8/9,9:30:00,山推股份(000680.XSHE),买,100股,13.9,1390,100股,0,5,,
2011/8/9,9:30:00,皖能电力(000543.XSHE),买,100股,6.51,651,100股,0,5,,
2011/8/9,9:30:00,西飞国际(000768.XSHE),买,100股,10.51,1051,100股,0,5,,
2011/8/9,9:30:00,一汽富维(600742.XSHG),买,100股,25.55,2555,100股,0,5,,
2011/8/9,9:30:00,新钢股份(600782.XSHG),买,4300股,6.49,27907,4300股,0,8.37,,
2011/8/11,9:30:00,一汽富维(600742.XSHG),卖,-1100股,25.57,-28127,-1100股,-2118,36.57,,
2011/8/11,9:30:00,山推股份(000680.XSHE),卖,-100股,13.98,-1398,-100股,232.67,6.4,,
2011/8/11,9:30:00,皖能电力(000543.XSHE),卖,-200股,6.44,-1288,-200股,-46.14,6.29,,
2011/8/11,9:30:00,西飞国际(000768.XSHE),卖,-300股,10.39,-3117,-300股,-156.69,8.12,,
2011/8/11,9:30:00,新钢股份(600782.XSHG),卖,-400股,6.49,-2596,-400股,0,7.6,,
2011/8/11,9:30:00,浦发银行(600000.XSHG),买,4400股,8.74,38456,4400股,0,11.54,,
2011/8/22,9:30:00,浦发银行(600000.XSHG),卖,-4400股,9.03,-39732,-4400股,1276,51.65,,
2011/8/22,9:30:00,西飞国际(000768.XSHE),买,200股,10.39,2078,200股,0,5,,
2011/8/22,9:30:00,新钢股份(600782.XSHG),买,300股,6.61,1983,300股,0,5,,
2011/8/22,9:30:00,华发股份(600325.XSHG),买,3200股,10.19,32608,3200股,0,9.78,,
2011/9/14,9:30:00,西飞国际(000768.XSHE),卖,-3400股,9.62,-32708,-3400股,-4289.31,42.52,,
2011/9/14,9:30:00,新钢股份(600782.XSHG),卖,-100股,6.26,-626,-100股,-23.86,5.63,,
2011/9/14,9:30:00,世茂股份(600823.XSHG),买,2500股,14.07,35175,2500股,0,10.55,,
2011/9/20,9:30:00,皖能电力(000543.XSHE),卖,-2600股,5.99,-15574,-2600股,-1769.84,20.57,,
2011/9/20,9:30:00,新钢股份(600782.XSHG),卖,-200股,5.89,-1178,-200股,-121.71,6.18,,
2011/9/20,9:30:00,华发股份(600325.XSHG),卖,-200股,9.49,-1898,-200股,-140,6.9,,
2011/9/20,9:30:00,世茂股份(600823.XSHG),卖,-300股,13.48,-4044,-300股,-177,9.04,,
2011/9/20,9:30:00,航天科技(000901.XSHE),买,1500股,15.32,22980,1500股,0,6.89,,
2011/9/23,9:30:00,新钢股份(600782.XSHG),卖,-3900股,5.65,-22035,-3900股,-3309.43,28.65,,
2011/9/23,9:30:00,华发股份(600325.XSHG),卖,-3000股,8.91,-26730,-3000股,-3840,34.75,,
2011/9/23,9:30:00,天保基建(000965.XSHE),买,3100股,8.51,26381,3100股,0,7.91,,
2011/9/23,9:30:00,北京城建(600266.XSHG),买,1900股,12.26,23294,1900股,0,6.99,,
2011/9/28,9:30:00,世茂股份(600823.XSHG),卖,-2200股,12.17,-26774,-2200股,-4180,34.81,,
2011/9/28,9:30:00,北京城建(600266.XSHG),买,100股,11.8,1180,100股,0,5,,
2011/9/28,9:30:00,珠江实业(600684.XSHG),买,2500股,9.11,22775,2500股,0,6.83,,
2011/9/30,9:30:00,珠江实业(600684.XSHG),卖,-2500股,7.49,-18725,-2500股,-4050,24.34,,
2011/9/30,9:30:00,航天科技(000901.XSHE),卖,-100股,15.68,-1568,-100股,36,6.57,,
2011/9/30,9:30:00,山推股份(000680.XSHE),买,100股,12.78,1278,100股,0,5,,
2011/9/30,9:30:00,天保基建(000965.XSHE),买,100股,8.49,849,100股,0,5,,
2011/9/30,9:30:00,北京城建(600266.XSHG),买,300股,11.51,3453,300股,0,5,,
2011/9/30,9:30:00,高鸿股份(000851.XSHE),买,2000股,8.14,16280,2000股,0,5,,
2011/10/21,9:30:00,航天科技(000901.XSHE),卖,-1400股,13.13,-18382,-1400股,-3066,23.9,,
2011/10/21,9:30:00,北京城建(600266.XSHG),卖,-2300股,10.77,-24771,-2300股,-3156,32.2,,
2011/10/21,9:30:00,天保基建(000965.XSHE),卖,-400股,8.59,-3436,-400股,32.25,8.44,,
2011/10/21,9:30:00,高鸿股份(000851.XSHE),卖,-200股,8.1,-1620,-200股,-8,6.62,,
2011/10/21,9:30:00,金融街(000402.XSHE),买,4800股,5.94,28512,4800股,0,8.55,,
2011/10/21,9:30:00,中文传媒(600373.XSHG),买,1400股,14,19600,1400股,0,5.88,,
2011/12/5,9:30:00,山推股份(000680.XSHE),卖,-1500股,10.48,-15720,-1500股,-1872.67,20.72,,
2011/12/5,9:30:00,金融街(000402.XSHE),卖,-100股,6.22,-622,-100股,28,5.62,,
2011/12/5,9:30:00,中文传媒(600373.XSHG),卖,-300股,19.68,-5904,-300股,1704,10.9,,
2011/12/5,9:30:00,高鸿股份(000851.XSHE),买,100股,7.69,769,100股,0,5,,
2011/12/5,9:30:00,博汇纸业(600966.XSHG),买,3600股,6.16,22176,3600股,0,6.65,,
2011/12/13,9:30:00,高鸿股份(000851.XSHE),卖,-1900股,7.19,-13661,-1900股,-1760,18.66,,
2011/12/13,9:30:00,中文传媒(600373.XSHG),卖,-100股,18.51,-1851,-100股,451,6.85,,
2011/12/13,9:30:00,博汇纸业(600966.XSHG),买,500股,5.92,2960,500股,0,5,,
2011/12/13,9:30:00,乐山电力(600644.XSHG),买,1300股,9.8,12740,1300股,0,5,,
2011/12/14,9:30:00,乐山电力(600644.XSHG),卖,-1300股,8.74,-11362,-1300股,-1378,16.36,,
